Prix,Achat_Tot,Date,Part_Strat
188.0,4.0,5.0,0.67
196.0,0.0,6.0,0.67
218.0,2.0,7.0,0.67
117.0,24.0,8.0,0.67
71.0,30.0,9.0,0.67
211.0,3.0,10.0,0.67
131.0,16.0,11.0,0.67
112.0,10.0,12.0,0.67
123.0,20.0,1.0,0.68
96.0,30.0,2.0,0.68
129.0,1.0,3.0,0.68
125.0,6.0,4.0,0.68
189.0,3.0,5.0,0.68
147.0,7.0,6.0,0.68
221.0,1.0,7.0,0.68
175.0,4.0,8.0,0.68
140.0,27.0,9.0,0.68
139.0,24.0,10.0,0.68
88.0,25.0,11.0,0.68
73.0,0.0,12.0,0.68
77.0,30.0,1.0,0.69
143.0,4.0,2.0,0.69
158.0,2.0,3.0,0.69
192.0,2.0,4.0,0.69
196.0,1.0,5.0,0.69
99.0,30.0,6.0,0.69
114.0,3.0,7.0,0.69
147.0,9.0,8.0,0.69
187.0,8.0,9.0,0.69
188.0,7.0,10.0,0.69
200.0,5.0,11.0,0.69
100.0,21.0,12.0,0.69
96.0,30.0,1.0,0.7
229.0,2.0,2.0,0.7
212.0,0.0,3.0,0.7
89.0,30.0,4.0,0.7
182.0,6.0,5.0,0.7
91.0,30.0,6.0,0.7
122.0,3.0,7.0,0.7
184.0,5.0,8.0,0.7
91.0,30.0,9.0,0.7
204.0,1.0,10.0,0.7
104.0,19.0,11.0,0.7
177.0,0.0,12.0,0.7
91.0,30.0,1.0,0.71
122.0,0.0,2.0,0.71
133.0,3.0,3.0,0.71
106.0,22.0,4.0,0.71
115.0,4.0,5.0,0.71
199.0,3.0,6.0,0.71
224.0,0.0,7.0,0.71
124.0,22.0,8.0,0.71
150.0,9.0,9.0,0.71
150.0,8.0,10.0,0.71
111.0,26.0,11.0,0.71
145.0,13.0,12.0,0.71
128.0,17.0,1.0,0.72
136.0,1.0,2.0,0.72
